orgunitlevel1,orgunitlevel2,orgunitlevel3,orgunitlevel4,orgunitlevel5,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,2015_rbtc_colle,2015__transfused_blood,2015_donated_blood_units,2015_blood_other_sources,2015_no_of_units_requested_from_other_transfusing_hospi,2015__blood_units_received_from_moh_706blood_transfusio,2015_moh_706_blood_units_transfused,2016_rbtc_colle,2016__transfused_blood,2016_donated_blood_units,2016_blood_other_sources,2016_no_of_units_requested_from_other_transfusing_hospi,2016__blood_units_received_from_moh_706blood_transfusio,2016_moh_706_blood_units_transfused,2017_rbtc_colle,2017__transfused_blood,2017_donated_blood_units,2017_blood_other_sources,2017_no_of_units_requested_from_other_transfusing_hospi,2017__blood_units_received_from_moh_706blood_transfusio,2017_moh_706_blood_units_transfused,2018_rbtc_colle,2018__transfused_blood,2018_donated_blood_units,2018_blood_other_sources,2018_no_of_units_requested_from_other_transfusing_hospi,2018__blood_units_received_from_moh_706blood_transfusio,2018_moh_706_blood_units_transfused,2019_rbtc_colle,2019__transfused_blood,2019_donated_blood_units,2019_blood_other_sources,2019_no_of_units_requested_from_other_transfusing_hospi,2019__blood_units_received_from_moh_706blood_transfusio,2019_moh_706_blood_units_transfused
Kenya,Machakos County,Athi River Sub County,Athi River Ward,Closed_Hope World Wide Kenya,Z5GQcf83PXQ,Closed_Hope World Wide Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Machakos County,Athi River Sub County,Syokimau/Mulolongo Ward,Courtesy Community Based Health Services,Sd2vIXgZpFt,Courtesy Community Based Health Services,11978.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Machakos County,Athi River Sub County,Kinanie Ward,Delam Medical Clinic,i6zEUMOjuxX,Delam Medical Clinic,25808.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Machakos County,Athi River Sub County,Athi River Ward,Devki Staff Clinc,HfgeqEN5tJ8,Devki Staff Clinc,17904.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Machakos County,Athi River Sub County,Syokimau/Mulolongo Ward,Earnest Medical Point Centre,iSItENTqnqC,Earnest Medical Point Centre,20699.0,In mlolongo  ward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Machakos County,Athi River Sub County,Athi River Ward,East Africa Portland Cement Company Clinic,m7EudKgOKJE,East Africa Portland Cement Company Clinic,18152.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Machakos County,Athi River Sub County,Syokimau/Mulolongo Ward,Eastern Afya Medical Centre,aSdPJeSBYsZ,Eastern Afya Medical Centre,22754.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Machakos County,Athi River Sub County,Syokimau/Mulolongo Ward,Falcon Medical Centre,HZ1PYRPbxGV,Falcon Medical Centre,24661.0,Located in mlolongo /syokimau ward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Machakos County,Athi River Sub County,Athi River Ward,Family Medical Clinic (Machakos),Ozy7OmYUgoL,Family Medical Clinic (Machakos),12017.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Machakos County,Athi River Sub County,Athi River Ward,Fanaka Medical Centre,NUjabhQBdG4,Fanaka Medical Centre,18155.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Machakos County,Athi River Sub County,Athi River Ward,Favour Primary Health Care,Wcs2js7vshS,Favour Primary Health Care,17908.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Machakos County,Athi River Sub County,Athi River Ward,First Baptist Dispensary,aROKfPobPbj,First Baptist Dispensary,18226.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Machakos County,Athi River Sub County,Syokimau/Mulolongo Ward,First Community Hospital Mlolongo,WxyGmc2bfGp,First Community Hospital Mlolongo,25515.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Machakos County,Athi River Sub County,Syokimau/Mulolongo Ward,Fountain of Hope Medical Clinic,xC8ZUzKBz5c,Fountain of Hope Medical Clinic,18780.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Machakos County,Athi River Sub County,Syokimau/Mulolongo Ward,Frankmart Medical Centre,pVzNQ7elnIQ,Frankmart Medical Centre,21936.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Machakos County,Athi River Sub County,Syokimau/Mulolongo Ward,Gertrudes Children Hospital Syokimau,OZJT0X1nuH3,Gertrudes Children Hospital Syokimau,25946.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Machakos County,Athi River Sub County,Syokimau/Mulolongo Ward,Gertrudes Children Hospital Syokimau,qVdfs89KFmA,Gertrudes Children Hospital Syokimau,25947.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Machakos County,Athi River Sub County,Syokimau/Mulolongo Ward,Hallmark Mlolongo,dfoRa4lVxmq,Hallmark Mlolongo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Machakos County,Athi River Sub County,Kinanie Ward,Hamsadam Medical Clinic,QnQPGj70DwI,Hamsadam Medical Clinic,19970.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Machakos County,Athi River Sub County,Athi River Ward,Hardship Medical Clinic,tCnrpYtT7DP,Hardship Medical Clinic,12055.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Machakos County,Athi River Sub County,Athi River Ward,Hope World Wide Kenya Clinic (Mukuru),Tl7CTBKleg4,Hope World Wide Kenya Clinic (Mukuru),17684.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Machakos County,Athi River Sub County,Athi River Ward,Imani Medical Centre,UyHCkY9ULD5,Imani Medical Centre,17669.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Machakos County,Athi River Sub County,Syokimau/Mulolongo Ward,Joylite Health Care,sGH3b53LsFT,Joylite Health Care,24188.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Machakos County,Athi River Sub County,Muthwani Ward,Katani Dispensary,hORllbg4SRu,Katani Dispensary,12217.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Machakos County,Athi River Sub County,Muthwani Ward,Katani Hospital,BOqaPJqbqT3,Katani Hospital,24343.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Machakos County,Athi River Sub County,Athi River Ward,Kimutwa Medical Clinic,mKm72HnVMuQ,Kimutwa Medical Clinic,12318.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Machakos County,Athi River Sub County,Muthwani Ward,Kimutwa Medical Clinic-Athi River,I2AFtb3bXcm,Kimutwa Medical Clinic-Athi River,18153.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Machakos County,Athi River Sub County,Kinanie Ward,Kinanie Health centre,ENlNLYthtQS,Kinanie Health centre,12321.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Machakos County,Athi River Sub County,Syokimau/Mulolongo Ward,Kinphil Medical Centre Limited,oXI7WGcIcoa,Kinphil Medical Centre Limited,23384.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Machakos County,Athi River Sub County,Muthwani Ward,KMC Dispensary,ZV9TK79P41F,KMC Dispensary,18157.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Machakos County,Athi River Sub County,Kinanie Ward,Kwakalusya Dispensary,ILjhsaBjMIr,Kwakalusya Dispensary,20197.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Machakos County,Athi River Sub County,Kinanie Ward,Kyumbi Health centre,Qpyxl9nhTo8,Kyumbi Health centre,21027.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Machakos County,Athi River Sub County,Kinanie Ward,kyumbi Sasa Centre,dY8H8jiDyTQ,kyumbi Sasa Centre,18607.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Machakos County,Athi River Sub County,Athi River Ward,Labram Medicare,HuuuqcSWg23,Labram Medicare,23571.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Machakos County,Athi River Sub County,Syokimau/Mulolongo Ward,Lane Care Medical Centre,h92zDVm9FEO,Lane Care Medical Centre,25232.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Machakos County,Athi River Sub County,Syokimau/Mulolongo Ward,LVCT Health VCT & Prevention center mlolongo,VfomdLjiGNI,LVCT Health VCT & Prevention center mlolongo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Machakos County,Athi River Sub County,Syokimau/Mulolongo Ward,Maayan Medical Centre,y46umYpVOkI,Maayan Medical Centre,23796.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Machakos County,Athi River Sub County,Athi River Ward,Makadara Health Care,xfBJE36F5de,Makadara Health Care,12450.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Machakos County,Athi River Sub County,Athi River Ward,Makutano Medical Clinic (Machakos),Z0PsLvUp12j,Makutano Medical Clinic (Machakos),12458.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Machakos County,Athi River Sub County,Syokimau/Mulolongo Ward,Mariakani Cottage Clinic,SKSCgrV5cC7,Mariakani Cottage Clinic,18838.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Machakos County,Athi River Sub County,Syokimau/Mulolongo Ward,Mary Goretti Health Services,SE4q34IrWb7,Mary Goretti Health Services,12474.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Machakos County,Athi River Sub County,Athi River Ward,Mavoko Medical Clinic,bofJCK2ECq2,Mavoko Medical Clinic,12494.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Machakos County,Athi River Sub County,Syokimau/Mulolongo Ward,Medicross Limited Medical Clinic,IhifCYIbWJD,Medicross Limited Medical Clinic,21983.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Machakos County,Athi River Sub County,Kinanie Ward,Mission of Hope International Medical Centre,aNrWrIybSR3,Mission of Hope International Medical Centre,20943.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Machakos County,Athi River Sub County,Syokimau/Mulolongo Ward,Mlolongo Health Centre,oFxoGR6nj0P,Mlolongo Health Centre,18581.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Machakos County,Athi River Sub County,Syokimau/Mulolongo Ward,Mlolongo VCT,OuaEx1YUfRw,Mlolongo VCT,18256.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Machakos County,Athi River Sub County,Syokimau/Mulolongo Ward,Mlolongo Wellness Centre,B0PjUV9h6dc,Mlolongo Wellness Centre,17844.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Machakos County,Athi River Sub County,Athi River Ward,Morning Star Medical Centre,v2YZy8UAeoo,Morning Star Medical Centre,25140.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Machakos County,Athi River Sub County,Syokimau/Mulolongo Ward,Mother Teresa Rodon medical clinic,ZS8yJBaZa1h,Mother Teresa Rodon medical clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Machakos County,Athi River Sub County,Kinanie Ward,Muthwani (AIC) Dispensary,AqffE72VbTC,Muthwani (AIC) Dispensary,12595.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Machakos County,Athi River Sub County,Athi River Ward,Mwanyas Medical Centre,IWlNwPGy2cY,Mwanyas Medical Centre,21794.0,In Athi River Market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Machakos County,Athi River Sub County,Syokimau/Mulolongo Ward,Naisura Medical Clinic,zmgX9gY8jdE,Naisura Medical Clinic,12633.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Machakos County,Athi River Sub County,Syokimau/Mulolongo Ward,New Hope Community Centre,KwPj8cp4JhU,New Hope Community Centre,18254.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Machakos County,Athi River Sub County,Athi River Ward,Njogu-ini Medical Services,U6hLEcicUul,Njogu-ini Medical Services,21985.0,Near Njogu-ini Market in Makandara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Machakos County,Athi River Sub County,Muthwani Ward,Noble Medical Clinic,ZJpU4sT6rdo,Noble Medical Clinic,18156.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Machakos County,Athi River Sub County,Syokimau/Mulolongo Ward,Oloibon Medical Centre,aMf3MBcaGHl,Oloibon Medical Centre,18257.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Machakos County,Athi River Sub County,Muthwani Ward,Palmed Clinic,xsrnrLPWs0j,Palmed Clinic,23744.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Machakos County,Athi River Sub County,Syokimau/Mulolongo Ward,Pharmaplus Gateway Mall,mKs8EdMrb8d,Pharmaplus Gateway Mall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Machakos County,Athi River Sub County,Athi River Ward,Pinacare Medical Services,p1saSeyfAga,Pinacare Medical Services,21211.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Machakos County,Athi River Sub County,Syokimau/Mulolongo Ward,Placeholder Dispensary,QI3Qdu8TG1S,Placeholder Dispensary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Machakos County,Athi River Sub County,Muthwani Ward,Pondeni Medical Clinic,b1QCMahTPvp,Pondeni Medical Clinic,12705.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Machakos County,Athi River Sub County,Syokimau/Mulolongo Ward,Ray Comprehensive Youth Centre (KANCO),JIqNfWdO3ng,Ray Comprehensive Youth Centre (KANCO),18255.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Machakos County,Athi River Sub County,Syokimau/Mulolongo Ward,Ray Youth Consortium VCT,hoo8RMxEdO1,Ray Youth Consortium VCT,17905.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Machakos County,Athi River Sub County,Syokimau/Mulolongo Ward,Safaricom JCC Aga Khan,xAugRS4KOCB,Safaricom JCC Aga Khan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Machakos County,Athi River Sub County,Athi River Ward,Shalom Community Hospital (Athi River),Zo2nZIsclv5,Shalom Community Hospital (Athi River),17979.0,In Athiriver ward,743.0,596.0,,40.0,,,,189.0,182.0,,,,829.0,612.0,,,,,,1354.0,1183.0,,,,,,1019.0,447.0,,,,,,176.0,76.0
Kenya,Machakos County,Athi River Sub County,Kinanie Ward,Sikia Dispensary,KllepQNbvJn,Sikia Dispensary,22115.0,"In Lukenya Ward, near Lukenya school",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Machakos County,Athi River Sub County,Syokimau/Mulolongo Ward,St Assisi Sisters of Mary Immaculate Nursing Home,xyqzLEu0jDE,St Assisi Sisters of Mary Immaculate Nursing Home,12745.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Machakos County,Athi River Sub County,Syokimau/Mulolongo Ward,St Catherine of Sienna Medical Centre,aeYCjkqqCSc,St Catherine of Sienna Medical Centre,24912.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Machakos County,Athi River Sub County,Muthwani Ward,St Francis Dispensary,E6Zr4jKhkXl,St Francis Dispensary,20262.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Machakos County,Athi River Sub County,Syokimau/Mulolongo Ward,St Immaculate Clinic,xgmWaHV5D66,St Immaculate Clinic,12750.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Machakos County,Athi River Sub County,Syokimau/Mulolongo Ward,St John Medical Clinic,f5V2iLgV1N6,St John Medical Clinic,20117.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Machakos County,Athi River Sub County,Kinanie Ward,St Matthew's Medical Centre,UGCmTne2kbD,St Matthew's Medical Centre,24187.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Machakos County,Athi River Sub County,Syokimau/Mulolongo Ward,St Michael Medical Services,ZSnon7VicKV,St Michael Medical Services,16250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Machakos County,Athi River Sub County,Syokimau/Mulolongo Ward,St Paul Community Medical Centre,ukMG6PkTaD7,St Paul Community Medical Centre,25516.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Machakos County,Athi River Sub County,Muthwani Ward,St Philip Neri clinic,mobDuF3fGHn,St Philip Neri clinic,24259.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Machakos County,Athi River Sub County,Athi River Ward,St Rita Medical Services,chb4hwAEq1S,St Rita Medical Services,20703.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Machakos County,Athi River Sub County,Syokimau/Mulolongo Ward,Stone Athi Medical Clinic,ZuO2s5QzEUJ,Stone Athi Medical Clinic,12776.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Machakos County,Athi River Sub County,Syokimau/Mulolongo Ward,Syokimau Medical Centre,kqJBvvoT0SR,Syokimau Medical Centre,20118.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Machakos County,Athi River Sub County,Syokimau/Mulolongo Ward,Syokimau Medical Services,gDbP4DgOx7F,Syokimau Medical Services,18819.0,Syokimau Medical Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Machakos County,Athi River Sub County,Syokimau/Mulolongo Ward,Tana Medical Clinic (Machakos),mAFPTVAgJBT,Tana Medical Clinic (Machakos),12785.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Machakos County,Athi River Sub County,Syokimau/Mulolongo Ward,Tefran Community Clinic,YBdxWJt1VEC,Tefran Community Clinic,12788.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Machakos County,Athi River Sub County,Kinanie Ward,Tereza D'Lima Dispensary,Uy0Kw0Km8J3,Tereza D'Lima Dispensary,12773.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Machakos County,Athi River Sub County,Syokimau/Mulolongo Ward,The Hope Spring Medical Clinic,FaPe49Gscab,The Hope Spring Medical Clinic,21733.0,In Mlolongo Health centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Machakos County,Athi River Sub County,Syokimau/Mulolongo Ward,Timiza Medical Centre,u3hZCp2rgTl,Timiza Medical Centre,21685.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Machakos County,Athi River Sub County,Syokimau/Mulolongo Ward,Uchudan Medical Clinic,No7X9u7iYQo,Uchudan Medical Clinic,23737.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Machakos County,Athi River Sub County,Muthwani Ward,Unit Healthcare,surXiPyf0D8,Unit Healthcare,23743.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Machakos County,Athi River Sub County,Syokimau/Mulolongo Ward,Vantage Medical Centre,uV872IXzeO4,Vantage Medical Centre,23675.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Machakos County,Athi River Sub County,Syokimau/Mulolongo Ward,Victory &Hope Medical Clinic Services,tL8XmuS6pqs,Victory &Hope Medical Clinic Services,19911.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Machakos County,Athi River Sub County,Athi River Ward,World Provision Centre VCT (Athi River),L8nl3KKytpH,World Provision Centre VCT (Athi River),18253.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Mombasa County,Changamwe Sub County,Airport Ward,Afya Bora Medical Clinic (Kilindini),rVtI7pd7E0o,Afya Bora Medical Clinic (Kilindini),11199.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Mombasa County,Changamwe Sub County,Airport Ward,Airport View Medical Clinic,B761KBCismf,Airport View Medical Clinic,11204.0,11204,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,
Kenya,Mombasa County,Changamwe Sub County,Airport Ward,Al Riyadh Medical Clinic,fH85KmwtcIR,Al Riyadh Medical Clinic,11209.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Mombasa County,Changamwe Sub County,Kipevu Ward,Al-Bir Medical Centre (Kilindini),gZmQg2NHpee,Al-Bir Medical Centre (Kilindini),11210.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Mombasa County,Changamwe Sub County,Airport Ward,Alpesan Medical Clinic,n36lC5k9kc6,Alpesan Medical Clinic,11213.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Mombasa County,Changamwe Sub County,Airport Ward,Alriyadh Medical Clinic,eA2RGei0XrF,Alriyadh Medical Clinic,11214.0,"repeated.
 facility recorded twice
remove",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
