,orgunitlevel4,supply
144,Kipevu Ward,0.0
145,Changamwe Ward,0.0
146,Kipevu Ward,0.0
147,Changamwe Ward,0.0
148,Airport Ward,0.0
149,Airport Ward,0.0
150,Airport Ward,0.0
151,Airport Ward,0.0
152,Airport Ward,0.0
153,Kipevu Ward,0.0
154,Chaani Ward,0.0
155,Airport Ward,0.0
156,Changamwe Ward,0.0
157,Airport Ward,0.0
158,Chaani Ward,0.0
159,Chaani Ward,0.0
160,Airport Ward,0.0
161,Chaani Ward,0.0
162,Airport Ward,0.0
163,Airport Ward,0.0
164,Airport Ward,0.0
165,Airport Ward,47.0
166,Airport Ward,0.0
167,Airport Ward,0.0
168,Airport Ward,0.0
169,Airport Ward,0.0
170,Airport Ward,0.0
171,Changamwe Ward,0.0
172,Port Reitz Ward,0.0
173,Changamwe Ward,0.0
174,Port Reitz Ward,0.0
175,Airport Ward,0.0
176,Airport Ward,0.0
177,Chaani Ward,0.0
178,Chaani Ward,0.0
179,Airport Ward,0.0
180,Airport Ward,0.0
181,Changamwe Ward,0.0
182,Airport Ward,0.0
183,Airport Ward,0.0
184,Changamwe Ward,0.0
185,Chaani Ward,0.0
186,Airport Ward,0.0
187,Airport Ward,0.0
188,Airport Ward,0.0
189,Kilimani Ward,0.0
190,Kileleshwa Ward,0.0
191,Kilimani Ward,0.0
192,Kilimani Ward,0.0
193,Kileleshwa Ward,0.0
194,Kabiro Ward,0.0
195,Kilimani Ward,0.0
196,Kilimani Ward,0.0
197,Kilimani Ward,0.0
198,Gatina Ward,0.0
199,Kileleshwa Ward,0.0
200,Kilimani Ward,0.0
201,Kilimani Ward,0.0
202,Kilimani Ward,0.0
203,Kilimani Ward,0.0
204,Kilimani Ward,0.0
205,Kilimani Ward,0.0
206,Kilimani Ward,0.0
207,Kilimani Ward,0.0
208,Kilimani Ward,0.0
209,Kilimani Ward,0.0
210,Kilimani Ward,0.0
211,Kilimani Ward,0.0
212,Kilimani Ward,0.0
213,Kilimani Ward,0.0
214,Kilimani Ward,0.0
215,Kawangware Ward,0.0
216,Kileleshwa Ward,0.0
217,Kilimani Ward,0.0
218,Kilimani Ward,0.0
219,Gatina Ward,0.0
220,Kilimani Ward,0.0
221,Kilimani Ward,0.0
222,Kilimani Ward,0.0
223,Kilimani Ward,0.0
224,Kileleshwa Ward,0.0
225,Kileleshwa Ward,0.0
226,Kabiro Ward,0.0
227,Kawangware Ward,0.0
228,Kabiro Ward,0.0
229,Kilimani Ward,0.0
230,Kilimani Ward,0.0
231,Kilimani Ward,0.0
232,Kilimani Ward,0.0
233,Kabiro Ward,0.0
234,Kilimani Ward,0.0
235,Kileleshwa Ward,209.0
236,Kileleshwa Ward,0.0
237,Kilimani Ward,0.0
238,Kileleshwa Ward,226.0
239,Kilimani Ward,0.0
240,Kabiro Ward,0.0
241,Kilimani Ward,0.0
242,Kawangware Ward,12.0
243,Kabiro Ward,0.0
244,Kilimani Ward,0.0
245,Kilimani Ward,0.0
246,Kilimani Ward,0.0
247,Kilimani Ward,0.0
248,Kilimani Ward,0.0
249,Kawangware Ward,0.0
250,Kilimani Ward,0.0
251,Kilimani Ward,0.0
252,Kilimani Ward,0.0
253,Kilimani Ward,0.0
254,Kawangware Ward,0.0
255,Kilimani Ward,0.0
256,Kileleshwa Ward,0.0
257,Kabiro Ward,0.0
258,Kilimani Ward,0.0
259,Kawangware Ward,0.0
260,Kileleshwa Ward,0.0
261,Kawangware Ward,0.0
262,Kawangware Ward,0.0
263,Kawangware Ward,0.0
264,Kabiro Ward,0.0
265,Gatina Ward,0.0
266,Kabiro Ward,0.0
267,Kilimani Ward,0.0
268,Kilimani Ward,0.0
269,Kileleshwa Ward,0.0
270,Kilimani Ward,0.0
271,Kilimani Ward,0.0
272,Kilimani Ward,0.0
273,Kilimani Ward,0.0
274,Kilimani Ward,0.0
275,Kilimani Ward,0.0
276,Kabiro Ward,0.0
277,Kileleshwa Ward,0.0
278,Uthiru/Ruthimitu Ward,0.0
279,Riruta Ward,0.0
280,Mutu-ini Ward,0.0
281,Mutu-ini Ward,0.0
282,Uthiru/Ruthimitu Ward,0.0
283,Riruta Ward,0.0
284,Uthiru/Ruthimitu Ward,0.0
285,Ngando Ward,0.0
286,Ngando Ward,0.0
287,Riruta Ward,0.0
288,Riruta Ward,0.0
289,Uthiru/Ruthimitu Ward,0.0
290,Waithaka Ward,0.0
291,Riruta Ward,0.0
292,Mutu-ini Ward,0.0
293,Mutu-ini Ward,0.0
294,Waithaka Ward,0.0
295,Riruta Ward,0.0
296,Riruta Ward,0.0
297,Mutu-ini Ward,0.0
298,Riruta Ward,0.0
299,Ngando Ward,0.0
300,Riruta Ward,0.0
301,Riruta Ward,0.0
302,Mutu-ini Ward,0.0
303,Mutu-ini Ward,0.0
304,Riruta Ward,0.0
305,Riruta Ward,0.0
306,Riruta Ward,0.0
307,Ngando Ward,0.0
308,Mutu-ini Ward,0.0
309,Riruta Ward,0.0
310,Ngando Ward,0.0
311,Ngando Ward,0.0
312,Riruta Ward,0.0
313,Waithaka Ward,0.0
314,Uthiru/Ruthimitu Ward,0.0
315,Waithaka Ward,0.0
316,Kayole North Ward,0.0
317,Komarock Ward,0.0
318,Kayole Central Ward,0.0
319,Kayole Central Ward,0.0
320,Kayole North Ward,0.0
321,Kayole Central Ward,0.0
322,Kayole Central Ward,0.0
323,Kayole Central Ward,0.0
324,Komarock Ward,0.0
325,Kayole Central Ward,0.0
326,Komarock Ward,0.0
327,Kayole South Ward,0.0
328,Kayole South Ward,0.0
329,Kayole South Ward,0.0
330,Komarock Ward,0.0
331,Kayole Central Ward,3.0
332,Kayole North Ward,0.0
333,Kayole South Ward,0.0
334,Kayole South Ward,0.0
335,Kayole Central Ward,0.0
336,Kayole Central Ward,0.0
337,Komarock Ward,0.0
338,Komarock Ward,0.0
339,Kayole North Ward,0.0
340,Komarock Ward,1107.0
341,Kayole South Ward,0.0
342,Kayole North Ward,0.0
343,Kayole Central Ward,0.0
344,Kayole Central Ward,0.0
345,Kayole North Ward,0.0
346,Komarock Ward,0.0
347,Kayole North Ward,0.0
348,Komarock Ward,0.0
349,Komarock Ward,0.0
350,Kayole North Ward,0.0
351,Kayole North Ward,0.0
352,Kayole Central Ward,0.0
353,Matopeni/Spring Valley Ward,0.0
354,Kayole South Ward,0.0
355,Komarock Ward,0.0
356,Komarock Ward,0.0
357,Kayole North Ward,0.0
358,Kayole North Ward,0.0
359,Kayole North Ward,0.0
360,Kayole South Ward,0.0
361,Kayole North Ward,0.0
362,Matopeni/Spring Valley Ward,0.0
363,Upper Savannah Ward,0.0
364,Embakasi Ward,0.0
365,Upper Savannah Ward,0.0
366,Upper Savannah Ward,0.0
367,Embakasi Ward,0.0
368,Mihango Ward,0.0
369,Upper Savannah Ward,0.0
370,Embakasi Ward,0.0
371,Embakasi Ward,0.0
372,Embakasi Ward,33.0
373,Utawala Ward,0.0
374,Lower Savannah Ward,0.0
375,Upper Savannah Ward,0.0
376,Embakasi Ward,0.0
377,Upper Savannah Ward,0.0
378,Lower Savannah Ward,0.0
379,Embakasi Ward,0.0
380,Lower Savannah Ward,0.0
381,Mihango Ward,0.0
382,Upper Savannah Ward,0.0
383,Upper Savannah Ward,0.0
384,Embakasi Ward,0.0
385,Upper Savannah Ward,0.0
386,Upper Savannah Ward,0.0
387,Embakasi Ward,0.0
388,Mihango Ward,0.0
389,Utawala Ward,0.0
390,Embakasi Ward,0.0
391,Embakasi Ward,0.0
392,Embakasi Ward,0.0
393,Embakasi Ward,0.0
394,Embakasi Ward,0.0
395,Utawala Ward,379.0
396,Embakasi Ward,0.0
397,Utawala Ward,1.0
398,Embakasi Ward,0.0
399,Utawala Ward,0.0
400,Upper Savannah Ward,0.0
401,Mihango Ward,0.0
402,Embakasi Ward,0.0
403,Embakasi Ward,0.0
404,Embakasi Ward,0.0
405,Embakasi Ward,0.0
406,Lower Savannah Ward,0.0
407,Embakasi Ward,0.0
408,Utawala Ward,100.0
409,Embakasi Ward,0.0
410,Embakasi Ward,0.0
411,Embakasi Ward,0.0
412,Lower Savannah Ward,0.0
413,Utawala Ward,0.0
414,Upper Savannah Ward,0.0
415,Embakasi Ward,0.0
416,Mihango Ward,0.0
417,Upper Savannah Ward,0.0
418,Utawala Ward,0.0
419,Utawala Ward,0.0
420,Embakasi Ward,0.0
421,Embakasi Ward,0.0
422,Kariobangi North Ward,0.0
423,Dandora Area Iv Ward,76.0
424,Kariobangi North Ward,0.0
425,Dandora Area II Ward,0.0
426,Dandora Area I Ward,0.0
427,Dandora Area III Ward,0.0
428,Dandora Area Iv Ward,0.0
429,Dandora Area III Ward,0.0
430,Dandora Area II Ward,0.0
431,Dandora Area II Ward,0.0
432,Dandora Area Iv Ward,0.0
433,Kariobangi North Ward,0.0
434,Kariobangi North Ward,0.0
435,Kariobangi North Ward,21.0
436,Kariobangi North Ward,0.0
437,Kariobangi North Ward,8.0
438,Kariobangi North Ward,0.0
439,Kariobangi North Ward,0.0
440,Kariobangi North Ward,0.0
441,Dandora Area I Ward,0.0
442,Dandora Area II Ward,0.0
443,Dandora Area II Ward,7.0
444,Dandora Area II Ward,0.0
445,Dandora Area III Ward,0.0
446,Dandora Area I Ward,0.0
447,Kariobangi North Ward,0.0
448,Dandora Area Iv Ward,0.0
449,Dandora Area Iv Ward,0.0
450,Kariobangi North Ward,0.0
451,Dandora Area III Ward,0.0
452,Dandora Area I Ward,0.0
453,Dandora Area Iv Ward,0.0
454,Kariobangi North Ward,0.0
455,Dandora Area I Ward,0.0
456,Kware Ward,0.0
457,Imara Daima Ward,0.0
458,Kware Ward,0.0
459,Pipeline Ward,0.0
460,Kware Ward,0.0
461,Pipeline Ward,0.0
462,Kwa Njenga Ward,0.0
463,Imara Daima Ward,0.0
464,Kware Ward,0.0
465,Kwa Njenga Ward,0.0
466,Kwa Reuben Ward,0.0
467,Kwa Njenga Ward,0.0
468,Imara Daima Ward,0.0
469,Imara Daima Ward,0.0
470,Kwa Njenga Ward,0.0
471,Kware Ward,0.0
472,Kware Ward,0.0
473,Kwa Reuben Ward,0.0
474,Kware Ward,0.0
475,Pipeline Ward,0.0
476,Pipeline Ward,0.0
477,Imara Daima Ward,0.0
478,Kwa Njenga Ward,0.0
479,Imara Daima Ward,0.0
480,Kwa Njenga Ward,0.0
481,Pipeline Ward,0.0
482,Pipeline Ward,0.0
483,Pipeline Ward,0.0
484,Pipeline Ward,0.0
485,Kwa Reuben Ward,0.0
486,Kwa Njenga Ward,0.0
487,Pipeline Ward,0.0
488,Pipeline Ward,0.0
489,Umoja I Ward,0.0
490,Umoja I Ward,0.0
491,Umoja II Ward,0.0
492,Kariobangi South Ward,0.0
493,Umoja I Ward,0.0
494,Umoja I Ward,0.0
495,Mowlem Ward,0.0
496,Umoja II Ward,0.0
497,Kariobangi South Ward,0.0
498,Kariobangi South Ward,0.0
499,Umoja I Ward,0.0
500,Umoja II Ward,0.0
501,Kariobangi South Ward,0.0
502,Kariobangi South Ward,0.0
503,Kariobangi South Ward,0.0
504,Kariobangi South Ward,0.0
505,Kariobangi South Ward,0.0
506,Mowlem Ward,0.0
507,Mowlem Ward,0.0
508,Mowlem Ward,0.0
509,Umoja I Ward,0.0
510,Umoja I Ward,0.0
511,Umoja I Ward,0.0
512,Mowlem Ward,0.0
513,Umoja II Ward,0.0
514,Kariobangi South Ward,0.0
515,Umoja I Ward,0.0
516,Mowlem Ward,0.0
517,Kariobangi South Ward,0.0
518,Mowlem Ward,0.0
519,Umoja II Ward,0.0
520,Umoja II Ward,0.0
521,Umoja I Ward,0.0
522,Kariobangi South Ward,0.0
523,Umoja I Ward,0.0
524,Umoja II Ward,0.0
525,Umoja I Ward,0.0
526,Umoja I Ward,0.0
527,Umoja I Ward,0.0
528,Umoja I Ward,0.0
529,Mowlem Ward,0.0
530,Umoja II Ward,0.0
531,Umoja II Ward,0.0
532,Kariobangi South Ward,0.0
533,Umoja I Ward,0.0
534,Umoja I Ward,0.0
535,Umoja II Ward,0.0
536,Umoja I Ward,0.0
537,Jomvu Kuu Ward,0.0
538,Jomvu Kuu Ward,0.0
539,Miritini Ward,0.0
540,Mikindani Ward,0.0
541,Jomvu Kuu Ward,0.0
542,Miritini Ward,0.0
543,Mikindani Ward,0.0
544,Mikindani Ward,0.0
545,Mikindani Ward,0.0
546,Miritini Ward,0.0
547,Jomvu Kuu Ward,0.0
548,Jomvu Kuu Ward,0.0
549,Jomvu Kuu Ward,0.0
550,Mikindani Ward,0.0
551,Miritini Ward,0.0
552,Miritini Ward,0.0
553,Mikindani Ward,0.0
554,Miritini Ward,0.0
555,Jomvu Kuu Ward,0.0
556,Jomvu Kuu Ward,0.0
557,Mikindani Ward,0.0
558,Mikindani Ward,0.0
559,Mikindani Ward,0.0
560,Mikindani Ward,0.0
561,Mikindani Ward,13.0
562,Miritini Ward,0.0
563,Miritini Ward,0.0
564,Miritini Ward,0.0
565,Mikindani Ward,0.0
566,Miritini Ward,0.0
567,Miritini Ward,0.0
568,Mikindani Ward,0.0
569,Mikindani Ward,0.0
570,Miritini Ward,0.0
571,Miritini Ward,0.0
572,Jomvu Kuu Ward,0.0
573,Kalama Ward,0.0
574,Kalama Ward,0.0
575,Kalama Ward,0.0
576,Kalama Ward,0.0
577,Kalama Ward,0.0
578,Kalama Ward,0.0
579,Kola Ward,0.0
580,Kola Ward,0.0
581,Kalama Ward,0.0
582,Kalama Ward,0.0
583,Kalama Ward,0.0
584,Kola Ward,0.0
585,Kola Ward,0.0
586,Kalama Ward,0.0
587,Kola Ward,18.0
588,Kola Ward,0.0
589,Kola Ward,0.0
590,Kalama Ward,0.0
591,Kola Ward,0.0
592,Eastleigh South Ward,0.0
593,Eastleigh North Ward,0.0
594,Eastleigh North Ward,0.0
595,California Ward,0.0
596,Eastleigh North Ward,0.0
597,Eastleigh South Ward,0.0
598,Eastleigh South Ward,0.0
599,Eastleigh North Ward,0.0
600,California Ward,0.0
601,California Ward,0.0
602,Pumwani Ward,0.0
603,Eastleigh South Ward,0.0
604,Eastleigh North Ward,0.0
605,Eastleigh North Ward,0.0
606,Airbase Ward,0.0
607,Eastleigh South Ward,0.0
608,Eastleigh North Ward,0.0
609,Eastleigh South Ward,0.0
610,California Ward,0.0
611,Airbase Ward,0.0
612,Airbase Ward,0.0
613,Airbase Ward,0.0
614,Eastleigh South Ward,0.0
615,Eastleigh South Ward,0.0
616,Eastleigh North Ward,0.0
617,Eastleigh North Ward,0.0
618,Eastleigh North Ward,0.0
619,California Ward,0.0
620,Eastleigh South Ward,0.0
621,Airbase Ward,0.0
622,California Ward,0.0
623,Airbase Ward,0.0
624,Airbase Ward,0.0
625,California Ward,0.0
626,California Ward,0.0
627,California Ward,0.0
628,Eastleigh North Ward,0.0
629,Pumwani Ward,0.0
630,Pumwani Ward,0.0
631,Airbase Ward,0.0
632,California Ward,0.0
633,Pumwani Ward,0.0
634,Pumwani Ward,0.0
635,California Ward,0.0
636,Pumwani Ward,0.0
637,California Ward,0.0
638,Eastleigh North Ward,0.0
639,California Ward,0.0
640,Eastleigh North Ward,0.0
641,Eastleigh South Ward,0.0
642,Airbase Ward,0.0
643,Eastleigh North Ward,0.0
644,Pumwani Ward,0.0
645,Eastleigh North Ward,0.0
646,Kangundo North Ward,0.0
647,Kangundo Central Ward,0.0
648,Kangundo Central Ward,0.0
649,Kangundo Central Ward,0.0
650,Kangundo Central Ward,0.0
651,Kangundo Central Ward,0.0
652,Kangundo Central Ward,0.0
653,Kangundo Central Ward,0.0
654,Kangundo West Ward,0.0
655,Kangundo West Ward,0.0
656,Kangundo Central Ward,0.0
657,Kangundo Central Ward,639.0
658,Kangundo West Ward,0.0
659,Kangundo East Ward,0.0
660,Kangundo Central Ward,0.0
661,Kangundo North Ward,0.0
662,Kangundo West Ward,0.0
663,Kangundo East Ward,0.0
664,Kangundo East Ward,0.0
665,Kangundo East Ward,0.0
666,Kangundo West Ward,0.0
667,Kangundo West Ward,0.0
668,Kangundo North Ward,0.0
669,Kangundo East Ward,0.0
670,Kangundo West Ward,0.0
671,Kangundo North Ward,0.0
672,Kangundo Central Ward,0.0
673,Kangundo Central Ward,0.0
674,Kangundo West Ward,0.0
675,Kangundo Central Ward,0.0
676,Kangundo North Ward,0.0
677,Kangundo Central Ward,0.0
678,Kangundo Central Ward,0.0
679,Clay City Ward,0.0
680,Ruai Ward,0.0
681,Ruai Ward,0.0
682,Ruai Ward,0.0
683,Ruai Ward,0.0
684,Ruai Ward,0.0
685,Clay City Ward,0.0
686,Njiru Ward,0.0
687,Njiru Ward,0.0
688,Njiru Ward,0.0
689,Ruai Ward,65.0
690,Ruai Ward,0.0
691,Clay City Ward,0.0
692,Clay City Ward,0.0
693,Clay City Ward,0.0
694,Clay City Ward,0.0
695,Clay City Ward,0.0
696,Clay City Ward,0.0
697,Ruai Ward,0.0
698,Clay City Ward,6.0
699,Kasarani Ward,0.0
700,Clay City Ward,0.0
701,Kasarani Ward,0.0
702,Kasarani Ward,0.0
703,Ruai Ward,0.0
704,Clay City Ward,0.0
705,Njiru Ward,0.0
706,Clay City Ward,0.0
707,Mwiki Ward,18.0
708,Njiru Ward,0.0
709,Kasarani Ward,0.0
710,Kasarani Ward,0.0
711,Njiru Ward,13085.0
712,Njiru Ward,0.0
713,Ruai Ward,0.0
714,Kasarani Ward,0.0
715,Kasarani Ward,0.0
716,Ruai Ward,10.0
717,Njiru Ward,0.0
718,Njiru Ward,18390.0
719,Clay City Ward,0.0
720,Ruai Ward,0.0
721,Ruai Ward,2.0
722,Ruai Ward,0.0
723,Ruai Ward,0.0
724,Ruai Ward,0.0
725,Njiru Ward,0.0
726,Njiru Ward,17.0
727,Clay City Ward,0.0
728,Ruai Ward,0.0
729,Kasarani Ward,0.0
730,Ruai Ward,0.0
731,Clay City Ward,264.0
732,Clay City Ward,0.0
733,Njiru Ward,0.0
734,Mwiki Ward,0.0
735,Kasarani Ward,7.0
736,Kasarani Ward,0.0
737,Mwiki Ward,13.0
738,Ruai Ward,0.0
739,Kathiani Central Ward,0.0
740,Upper Kaewa/Iveti Ward,0.0
741,Lower Kaewa/Kaani Ward,0.0
742,Lower Kaewa/Kaani Ward,0.0
743,Kathiani Central Ward,0.0
744,Upper Kaewa/Iveti Ward,0.0
745,Upper Kaewa/Iveti Ward,0.0
746,Kathiani Central Ward,0.0
747,Kathiani Central Ward,194.0
748,Upper Kaewa/Iveti Ward,0.0
749,Lower Kaewa/Kaani Ward,0.0
750,Lower Kaewa/Kaani Ward,0.0
751,Lower Kaewa/Kaani Ward,0.0
752,Mitamboni Ward,0.0
753,Mitamboni Ward,0.0
754,Mitamboni Ward,0.0
755,Mitamboni Ward,0.0
756,Kathiani Central Ward,0.0
757,Mitamboni Ward,0.0
758,Kathiani Central Ward,0.0
759,Lower Kaewa/Kaani Ward,0.0
760,Mitamboni Ward,0.0
761,Upper Kaewa/Iveti Ward,0.0
762,Kibish Ward,0.0
763,Kibish Ward,0.0
764,Kibish Ward,0.0
765,Kibish Ward,0.0
766,Kibish Ward,0.0
767,Kibish Ward,0.0
768,Kibish Ward,0.0
769,Kibish Ward,0.0
770,Kibish Ward,0.0
771,Kibish Ward,0.0
772,Kibish Ward,0.0
773,Kibish Ward,0.0
774,Kibish Ward,0.0
775,Kibish Ward,0.0
776,Kibish Ward,0.0
777,Kibish Ward,0.0
778,Kibish Ward,0.0
779,Woodley/Kenyatta Golf Course Ward,0.0
780,Woodley/Kenyatta Golf Course Ward,0.0
781,Woodley/Kenyatta Golf Course Ward,0.0
782,Woodley/Kenyatta Golf Course Ward,0.0
783,Woodley/Kenyatta Golf Course Ward,0.0
784,Woodley/Kenyatta Golf Course Ward,0.0
785,Sarang'ombe Ward,0.0
786,Sarang'ombe Ward,0.0
787,Woodley/Kenyatta Golf Course Ward,0.0
788,Lindi Ward,0.0
789,Sarang'ombe Ward,0.0
790,Lindi Ward,0.0
791,Makina Ward,0.0
792,Sarang'ombe Ward,0.0
793,Woodley/Kenyatta Golf Course Ward,0.0
794,Makina Ward,0.0
795,Sarang'ombe Ward,0.0
796,Woodley/Kenyatta Golf Course Ward,0.0
797,Lindi Ward,0.0
798,Sarang'ombe Ward,0.0
799,Sarang'ombe Ward,0.0
800,Woodley/Kenyatta Golf Course Ward,0.0
801,Laini Saba Ward,0.0
802,Woodley/Kenyatta Golf Course Ward,0.0
803,Sarang'ombe Ward,0.0
804,Woodley/Kenyatta Golf Course Ward,0.0
805,Makina Ward,0.0
806,Woodley/Kenyatta Golf Course Ward,0.0
807,Woodley/Kenyatta Golf Course Ward,0.0
808,Woodley/Kenyatta Golf Course Ward,0.0
809,Woodley/Kenyatta Golf Course Ward,0.0
810,Sarang'ombe Ward,0.0
811,Makina Ward,0.0
812,Laini Saba Ward,0.0
813,Makina Ward,0.0
814,Makina Ward,0.0
815,Makina Ward,0.0
816,Lindi Ward,0.0
817,Woodley/Kenyatta Golf Course Ward,0.0
818,Sarang'ombe Ward,0.0
819,Lindi Ward,0.0
820,Makina Ward,0.0
821,Makina Ward,0.0
822,Sarang'ombe Ward,0.0
823,Lindi Ward,0.0
824,Sarang'ombe Ward,0.0
825,Woodley/Kenyatta Golf Course Ward,0.0
826,Woodley/Kenyatta Golf Course Ward,0.0
827,Lindi Ward,0.0
828,Sarang'ombe Ward,0.0
829,Lindi Ward,0.0
830,Woodley/Kenyatta Golf Course Ward,0.0
831,Woodley/Kenyatta Golf Course Ward,0.0
832,Woodley/Kenyatta Golf Course Ward,0.0
833,Woodley/Kenyatta Golf Course Ward,0.0
834,Woodley/Kenyatta Golf Course Ward,0.0
835,Woodley/Kenyatta Golf Course Ward,0.0
836,Woodley/Kenyatta Golf Course Ward,0.0
837,Lindi Ward,0.0
838,Woodley/Kenyatta Golf Course Ward,0.0
839,Woodley/Kenyatta Golf Course Ward,0.0
840,Woodley/Kenyatta Golf Course Ward,0.0
841,Sarang'ombe Ward,0.0
842,Woodley/Kenyatta Golf Course Ward,0.0
843,Sarang'ombe Ward,0.0
844,Laini Saba Ward,0.0
845,Sarang'ombe Ward,0.0
846,Sarang'ombe Ward,0.0
847,Sarang'ombe Ward,0.0
848,Sarang'ombe Ward,0.0
849,Sarang'ombe Ward,0.0
850,Laini Saba Ward,0.0
851,Sarang'ombe Ward,0.0
852,Makina Ward,0.0
853,Sarang'ombe Ward,0.0
854,Woodley/Kenyatta Golf Course Ward,0.0
855,Woodley/Kenyatta Golf Course Ward,0.0
856,Sarang'ombe Ward,0.0
857,Sarang'ombe Ward,0.0
858,Makina Ward,0.0
859,Woodley/Kenyatta Golf Course Ward,0.0
860,Makina Ward,0.0
861,Sarang'ombe Ward,0.0
862,Sarang'ombe Ward,0.0
863,Woodley/Kenyatta Golf Course Ward,0.0
864,Sarang'ombe Ward,0.0
865,Bamburi Ward,0.0
866,Shanzu Ward,0.0
